spanish,english
de,from
que,that
no,no
a,to
la,the
el,the
y,and
es,is
en,in
lo,it
un,a
por,for
qué,what
me,I
una,a
los,the
se,I know
te,tea
con,with
para,for
está,this
mi,me
pero,but
sí,Yes
si,Yes
bien,good
eso,that
su,his
las,the
yo,me
del,of
como,What
aquí,here
tu,you
al,to the
más,plus
le,you
esto,this
todo,everything
ya,already
estoy,I'm
ahora,now
muy,very
ha,he has
esta,is
así,So
vamos,Let's go
algo,something
hay,there are
bueno,Okay
tengo,I have
él,he
cuando,when
estás,these
sé,he
tú,your
nos,us
nada,any
cómo,What
este,this
o,or
he,He.
ser,to be
tiene,has
puedo,may l
ella,her
quiero,I want
hacer,do
fue,it was
gracias,Thank you
vez,time
era,it was
soy,am
sólo,alone
todos,everybody
porque,because
son,are
tienes,have
creo,I believe
voy,I go
sabes,know
estaba,I was
puede,may
eres,are
ese,that
usted,you
entonces,then
hola,hello
solo,only
verdad,truth
casa,House
tan,so
quién,who
sus,their
tiempo,weather
dos,two
esa,that
nunca,never
dónde,where
va,he/she goes
